fold,retrieval_mode,topn,label,precision,recall,f1_score,support
4,centroid,1,Alaris,0.8,0.7407407407407407,0.7692307692307693,27
4,centroid,1,Alcatras,0.7096774193548387,0.8461538461538461,0.7719298245614035,26
4,centroid,1,Braga,0.96875,0.8378378378378378,0.8985507246376812,37
4,centroid,1,Castor,0.7837837837837838,0.9354838709677419,0.8529411764705882,31
4,centroid,1,Denom,0.9230769230769231,0.972972972972973,0.9473684210526315,37
4,centroid,1,Gemini,0.9565217391304348,0.8148148148148148,0.88,27
4,centroid,1,Hawk,1.0,1.0,1.0,25
4,centroid,1,Ilias,0.9615384615384616,0.8928571428571429,0.9259259259259259,28
4,centroid,1,Mytikas,0.7692307692307693,0.7407407407407407,0.7547169811320755,27
4,centroid,1,Nivalis,0.9047619047619048,0.8636363636363636,0.8837209302325582,22
4,centroid,1,Ratikon,0.8888888888888888,0.8888888888888888,0.8888888888888888,27
4,centroid,1,Steel_Wheel,0.9722222222222222,1.0,0.9859154929577465,35
4,centroid,1,Triton,0.7678571428571429,0.8113207547169812,0.7889908256880734,53
4,centroid,1,Trius,0.7560975609756098,0.775,0.7654320987654321,40
4,centroid,1,Turbine,1.0,0.7777777777777778,0.875,27
4,centroid,1,Vega,0.9459459459459459,1.0,0.9722222222222222,35
4,centroid,1,Velorum,0.9661016949152542,0.9661016949152542,0.9661016949152542,59
4,centroid,1,Xtreme,0.9743589743589743,1.0,0.987012987012987,38
4,centroid,1,macro avg,0.891600746168953,0.8813515248345056,0.884108275760791,601
4,centroid,1,weighted avg,0.8916331461396679,0.8868552412645591,0.8871628073218683,601
